"Truck Number","Type Code","Type Description","Vin Number","Dot Number","Terminal/Office","Insurance Policy Number","License Plate","State/Province"
="755","TR","Tractor (Semi)","3AKJHHDR9PSNW2117",,"1805 CHEMIN SAINT-FRANCOIS",,"L952751","QC"
="756","TR","Tractor (Semi)","3AKJHHDR0PSNW2118",,"1805 CHEMIN SAINT-FRANCOIS",,"L952752","QC"
="757","TR","Tractor (Semi)","3AKJHHDR2PSNW2119",,"1805 CHEMIN SAINT-FRANCOIS",,"L962689","QC"
="758","TR","Tractor (Semi)","3AKJHHDR9PSNW2120",,"1805 CHEMIN SAINT-FRANCOIS",,"L952750","QC"
="759","TR","Tractor (Semi)","3AKJHHDR0PSNW2121",,"1805 CHEMIN SAINT-FRANCOIS",,"L962776","QC"
="760","TR","Tractor (Semi)","3AKJHHDR2PSNW2122",,"1805 CHEMIN SAINT-FRANCOIS",,"L962777","QC"
="761","TR","Tractor (Semi)","3AKJHHDR4PSNW2123",,"1805 CHEMIN SAINT-FRANCOIS",,"L969294","QC"
="762","TR","Tractor (Semi)","3AKJHHDR6PSNW2124",,"1805 CHEMIN SAINT-FRANCOIS",,"L964326","QC"
="763","TR","Tractor (Semi)","3AKJHHDR8PSNW2125",,"1805 CHEMIN SAINT-FRANCOIS",,"L962778","QC"
="764","TR","Tractor (Semi)","3AKJHHDR6PSNX0921",,"1805 CHEMIN SAINT-FRANCOIS",,"L956854","QC"
="765","TR","Tractor (Semi)","3AKJHHDR8PSNX0922",,"1805 CHEMIN SAINT-FRANCOIS",,"L962687","QC"
="766","TR","Tractor (Semi)","3AKJHHDR9PSUD0227",,"1805 CHEMIN SAINT-FRANCOIS",,"L959800","QC"
="767","TR","Tractor (Semi)","3AKJHHDR0PSUD0228",,"1805 CHEMIN SAINT-FRANCOIS",,"L969293","QC"
="768","TR","Tractor (Semi)","3AKJHHDR2PSUD0229",,"1805 CHEMIN SAINT-FRANCOIS",,"L964327","QC"
="769","TR","Tractor (Semi)","3AKJHHDR9PSUD0230",,"1805 CHEMIN SAINT-FRANCOIS",,"L964328","QC"
="770","TR","Tractor (Semi)","3AKJHHDR0PSUD0231",,"1805 CHEMIN SAINT-FRANCOIS",,"L969292","QC"
="771","TR","Tractor (Semi)","3AKJHHDR6PSUR1071",,"1805 CHEMIN SAINT-FRANCOIS",,"L968182","QC"
="772","TR","Tractor (Semi)","3AKJHHDR8PSUR1072",,"1805 CHEMIN SAINT-FRANCOIS",,"L968183","QC"
="773","TR","Tractor (Semi)","3AKJHHDRXPSUR1073",,"1805 CHEMIN SAINT-FRANCOIS",,"L968184","QC"
="774","TR","Tractor (Semi)","3AKJHHDR1PSUR1074",,"1805 CHEMIN SAINT-FRANCOIS",,"L968148","QC"
="775","TR","Tractor (Semi)","3AKJHHDR3PSUR1075",,"1805 CHEMIN SAINT-FRANCOIS",,"L984337","QC"
="776","TR","Tractor (Semi)","3AKJHHDR5PSUR1076",,"1805 CHEMIN SAINT-FRANCOIS",,"L984338","QC"
="777","TR","Tractor (Semi)","3AKJHHDR7PSUR1077",,"1805 CHEMIN SAINT-FRANCOIS",,"L973441","QC"
="778","TR","Tractor (Semi)","3AKJHHDR9PSUR1078",,"1805 CHEMIN SAINT-FRANCOIS",,"L977394","QC"
