"Trailer Number","Type Code","Type Description","Terminal/Office","License Plate","State/Province"
="524","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RJ1870V","QC"
="5240","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT6651V","QC"
="5242","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT2657W","QC"
="5243","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT3863T","QC"
="5244","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT3864T","QC"
="5245","OE","Other","1805 CHEMIN SAINT-FRANCOIS","RT3865T","QC"
="5246","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT3866T","QC"
="5247","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT3867T","QC"
="5248","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT5489T","QC"
="5249","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT5490T","QC"
="525","OE","Other","1805 CHEMIN SAINT-FRANCOIS","RJ1869V","QC"
="5250","OE","Other","1805 CHEMIN SAINT-FRANCOIS","RT5491T","QC"
="5251","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT5492T","QC"
="5252","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT5493T","QC"
="5253","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT5494T","QC"
="5256","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT5495T","QC"
="5257","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT5496T","QC"
="5258","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT5497T","QC"
="5259","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT5499T","QC"
="526","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RJ1868V","QC"
="5260","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT5500T","QC"
="5261","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT8627T","QC"
="5262","OE","Other","1805 CHEMIN SAINT-FRANCOIS","RT8628T","QC"
="5263","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT8629T","QC"
="5264","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT2352V","QC"
="5265","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT8630T","QC"
="5266","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT9679V","QC"
="5267","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT9678V","QC"
="527","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RJ1867V","QC"
="528","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RJ1866V","QC"
="5280","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT9677V","QC"
="5281","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT9676V","QC"
="5282","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT9675V","QC"
="5283","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT9674V","QC"
="529","OE","Other","1805 CHEMIN SAINT-FRANCOIS","RJ1777V","QC"
="530","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RJ7695Y","QC"
="531","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RJ7608W","QC"
="532","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RJ7611W","QC"
="533","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RJ7610W","QC"
="534","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR2831Z","QC"
="535","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RJ7614W","QC"
="536","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RJ7613W","QC"
="537","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RJ7612W","QC"
="538","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RJ7616W","QC"
="539","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RJ7617W","QC"
="540","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT7907N","QC"
="541","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL3103F","QC"
="542","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL3104F","QC"
="543","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RJ8261Z","QC"
="544","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RJ8203Z","QC"
="545","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RJ8293Z","QC"
="546","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN0816V","QC"
="547","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL5714C","QC"
="548","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL5713C","QC"
="549","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT6159N","QC"
="550","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL5711C","QC"
="551","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RM8735W","QC"
="552","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RM8736W","QC"
="553","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RM8734W","QC"
="554","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RM8710W","QC"
="555","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RM8716W","QC"
="556","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RM8715W","QC"
="557","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RM8714W","QC"
="558","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RM8713W","QC"
="559","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RM8712W","QC"
="560","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RM8711W","QC"
="561","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RM8966R","QC"
="562","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RM8967R","QC"
="563","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RM8951R","QC"
="564","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RM8952R","QC"
="565","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RM8953R","QC"
="566","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RM8954R","QC"
="567","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RM8955R","QC"
="568","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RM8956R","QC"
="569","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RM8957R","QC"
="570","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RM8958R","QC"
="571","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL3826R","QC"
="572","OE","Other","1805 CHEMIN SAINT-FRANCOIS","RL4275R","QC"
="573","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL4276R","QC"
="574","OE","Other","1805 CHEMIN SAINT-FRANCOIS","RL4277R","QC"
="575","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL4278R","QC"
="576","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP7139P","QC"
="577","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL4280R","QC"
="578","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL4281R","QC"
="579","OE","Other","1805 CHEMIN SAINT-FRANCOIS","RL4282R","QC"
="580","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RL4283R","QC"
="581","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN5822F","QC"
="582","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN5821F","QC"
="5824","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RJ7348E","QC"
="583","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN7527N","QC"
="584","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR1849Z","QC"
="585","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN0709V","QC"
="586","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN0710V","QC"
="587","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN0711V","QC"
="588","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN0712V","QC"
="589","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP5405A","QC"
="590","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP5406A","QC"
="591","OE","Other","1805 CHEMIN SAINT-FRANCOIS","RP5407A","QC"
="592","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP5408A","QC"
="593","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP5409A","QC"
="594","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP5410A","QC"
="595","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP5411A","QC"
="596","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP5412A","QC"
="597","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP5413A","QC"
="598","OE","Other","1805 CHEMIN SAINT-FRANCOIS","RP5414A","QC"
="599","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP5415A","QC"
"C240-1","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RE0503N","QC"
"C240-2","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RP1686C","QC"
"C24045-1","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM5345R","QC"
"C24053-1","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RT7409E","QC"
"C24053-2","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RT7407E","QC"
"C24053-3","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RT7410E","QC"
"C320-1","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM5344R","QC"
"C32045-1","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RL7545N","QC"
"C32045-10","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM5915X","QC"
"C32045-11","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM5916X","QC"
"C32045-12","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM5917X","QC"
"C32045-13","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM5918X","QC"
"C32045-14","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM5910X","QC"
"C32045-15","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM9172E","QC"
"C32045-16","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM5920X","QC"
"C32045-17","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM5350R","QC"
"C32045-2","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RL7542N","QC"
"C32045-3","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RL7544N","QC"
"C32045-4","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RL7541N","QC"
"C32045-5","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RL7510N","QC"
"C32045-6","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RL7543N","QC"
"C32045-7","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM5912X","QC"
"C32045-8","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM5913X","QC"
"C32045-9","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM5914X","QC"
