"Trailer Number","Type Code","Type Description","Terminal/Office","License Plate","State/Province"
="112103","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RG1891N","QC"
="112125","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RH9631F","QC"
"2TG-01","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP0044V","QC"
"2TG-02","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP0043V","QC"
"2TG-03","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP0494C","QC"
"2TG-04","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR0271V","QC"
"2TG-05","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR0272V","QC"
"2TG-06","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR0273V","QC"
="311","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RE9048L","QC"
="313","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RT2328G","QC"
="319","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RJ9355M","QC"
="320","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RK3254M","QC"
="322","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RM9142E","QC"
="323","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RZ28994","QC"
="324","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RR7941W","QC"
="325","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RF1480G","QC"
="326","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN0822V","QC"
="327","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL3952J","QC"
="328","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RF7851K","QC"
="328110","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RH8645K","QC"
="328139","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RH5395R","QC"
="329","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RE9049L","QC"
="330","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RE9051L","QC"
="3301","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL2852Y","QC"
="3302","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL2854Y","QC"
="3303","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL4774W","QC"
="3304","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL3035Y","QC"
="3305","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL3030Y","QC"
="3306","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL4284R","QC"
="3307","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL4285R","QC"
="3308","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL4286R","QC"
="3309","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL4287R","QC"
="331","OE","Other","1805 CHEMIN SAINT-FRANCOIS","RF1478G","QC"
="3310","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL4288R","QC"
="3311","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RL4289R","QC"
="3312","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL4290R","QC"
="3313","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL4291R","QC"
="3314","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL4292R","QC"
="3315","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL4293R","QC"
="3316","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR6244Y","QC"
="3317","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN6017F","QC"
="3318","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN6018F","QC"
="3319","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN6019F","QC"
="332","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RG6718P","QC"
="3320","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN6020F","QC"
="3321","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN6021F","QC"
="3322","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN6094F","QC"
="3323","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN6095F","QC"
="3324","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN6096F","QC"
="3325","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RN6116F","QC"
="3326","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RN6118F","QC"
="3327","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN6125F","QC"
="3328","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN6126F","QC"
="3329","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN6127F","QC"
="333","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RF1479G","QC"
="3330","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RE0521N","QC"
="3331","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RE0523N","QC"
="3332","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RE0525N","QC"
="3333","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RN0843V","QC"
="3334","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN3089X","QC"
="3335","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN0844V","QC"
="3336","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN6575W","QC"
="3337","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN6574W","QC"
="3339","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN3090X","QC"
="334","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RE5516V","QC"
="3340","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN6589W","QC"
="3341","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN3091X","QC"
="3342","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RN6588W","QC"
="3343","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN6587W","QC"
="3344","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN3093X","QC"
="3345","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN3094X","QC"
="3346","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN3095X","QC"
="3347","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN3096X","QC"
="3348","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN3032X","QC"
="3349","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN3092X","QC"
="3350","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN3033X","QC"
="3351","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN3034X","QC"
="3352","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RN3035X","QC"
="3353","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RP7115F","QC"
="3354","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP7116F","QC"
="3355","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP7117F","QC"
="3356","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP7118F","QC"
="3357","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP7119F","QC"
="3358","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP7120F","QC"
="3359","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP7121F","QC"
="336","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RC9035K","QC"
="3360","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP7122F","QC"
="3361","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP7123F","QC"
="3362","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP7061F","QC"
="3363","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP5527A","QC"
="3364","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RP5540A","QC"
="3366","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP7007F","QC"
="3367","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP7008F","QC"
="3368","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR3753W","QC"
="3369","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR3754W","QC"
="337","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RC8849K","QC"
="3370","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR3755W","QC"
="3371","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR3756W","QC"
="3372","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR3757W","QC"
="3373","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR3758W","QC"
="3374","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR3759W","QC"
="3375","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR3760W","QC"
="3376","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR3761W","QC"
="3377","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR3762W","QC"
="3378","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR3763W","QC"
="3379","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR3764W","QC"
="338","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RC9031K","QC"
="3380","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR3765W","QC"
="3381","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR3766W","QC"
="3382","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR3767W","QC"
="339","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RC9034K","QC"
="340","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR2604A","QC"
="342","OE","Other","1805 CHEMIN SAINT-FRANCOIS","RT6156N","QC"
="343","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RJ2676A","QC"
="345","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RC4406Z","QC"
="347","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR6342R","QC"
="348","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RC4235Z","QC"
="349","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN7571N","QC"
="350","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RC4233Z","QC"
="353","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RF7659K","QC"
="354","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RD2523K","QC"
="355","OE","Other","1805 CHEMIN SAINT-FRANCOIS","RD2521K","QC"
="357","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RD2525K","QC"
="364","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RE9050L","QC"
="365","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RE3104R","QC"
="366","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RH5719Y","QC"
="367","OE","Other","1805 CHEMIN SAINT-FRANCOIS","RE3106R","QC"
="368","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RE3107R","QC"
="369","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RE5515V","QC"
="370","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR5546E","QC"
="371","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RE5513V","QC"
="372","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RE5773V","QC"
="373","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RT2943C","QC"
="374","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RE5775V","QC"
="375","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RP6484X","QC"
="381","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RF1677N","QC"
="382","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RF1676N","QC"
="383","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RF1675N","QC"
="384","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RN7552N","QC"
="385","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RF1673N","QC"
"401R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT1900L","QC"
"402R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RR7752R","QC"
"403R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT5602W","QC"
"404R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RG3408P","QC"
"405R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RG3407P","QC"
"406R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RG3406P","QC"
"407R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RG3405P","QC"
"408R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RG3404P","QC"
"409R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RH3406K","QC"
="4100","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RR4940R","QC"
="4101","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RR4941R","QC"
="4102","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RR4942R","QC"
="4103","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RR4943R","QC"
="4104","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RR4944R","QC"
="4105","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RR4945R","QC"
="4106","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RR4946R","QC"
="4107","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RR4947R","QC"
="4108","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RR4948R","QC"
="4109","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RR4949R","QC"
"410R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RH3797K","QC"
"411R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RH3404K","QC"
"412R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RH3407K","QC"
"413R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RH3405K","QC"
"414R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RH3403K","QC"
"415R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RH5231C","QC"
"416R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RR2363Y","QC"
"417R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RH3401K","QC"
"418R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RH3793K","QC"
"419R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RK2409L","QC"
"4201R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT0667M","QC"
"4202R","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT0668M","QC"
"4203R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT0669M","QC"
"4204R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT2624M","QC"
"4205R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT0670M","QC"
"4206R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT2631M","QC"
"4207R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT0666M","QC"
"4208R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT2629M","QC"
"420R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RK2410L","QC"
"421R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RK2411L","QC"
"422R","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RK2412L","QC"
"423R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RK2413L","QC"
"424R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RK8415C","QC"
"425R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RK8414C","QC"
"426R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RK8413C","QC"
"427R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RK8412C","QC"
"428R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RK8411C","QC"
"429R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RL6114L","QC"
"4301R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RP8609M","QC"
"4302R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RP8608M","QC"
"4303R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RP8607M","QC"
"4304R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RP8606M","QC"
"4305R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT4288M","QC"
"4307R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT4289M","QC"
"4308R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT4290M","QC"
"4309R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT4291M","QC"
"430R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RL6113L","QC"
"4310R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT4292M","QC"
"4311R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT4293M","QC"
"4312R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT4294M","QC"
"4313R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT4295M","QC"
"4314R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT4296M","QC"
"4315R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT4297M","QC"
"4316R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT4298M","QC"
"431R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RR6167X","QC"
"432R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RL6111L","QC"
"433R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RL6110L","QC"
"434R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RL6109L","QC"
"436R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT5346E","QC"
"437R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RL6106L","QC"
"438R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RR6514M","QC"
"439R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN7542N","QC"
"440R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN7541N","QC"
"441R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN7540N","QC"
="4427","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","X6329R","ON"
"442R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN7596N","QC"
"443R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN7595N","QC"
"444R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN7594N","QC"
"445R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN7565N","QC"
"446R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN7551N","QC"
"447R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN7549N","QC"
"448R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RR4089W","QC"
"449R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN0602V","QC"
"450R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN0603V","QC"
"451R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN0604V","QC"
"452R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT3649C","QC"
"453R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN0606V","QC"
"454R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN0607V","QC"
"455R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN0608V","QC"
"456R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN0609V","QC"
"457R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN0610V","QC"
"458R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN0611V","QC"
"459R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN0650V","QC"
"460R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN0651V","QC"
"461R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN0662V","QC"
"462R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN0652V","QC"
"463R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN0653V","QC"
"464R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT0680W","QC"
"465R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RR3801L","QC"
"466R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RR4449Y","QC"
"467R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN0657V","QC"
"468R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN0658V","QC"
"469R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RK4332V","QC"
"470R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RK4369V","QC"
"471R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RK4334V","QC"
"472R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN8200K","QC"
"473R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN8199K","QC"
"474R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN8198K","QC"
"475R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RK4368V","QC"
"476R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RK4367V","QC"
"477R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN8179K","QC"
"478R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RK4366V","QC"
"479R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN8196K","QC"
"480R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN8195K","QC"
"481R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN8194K","QC"
"482R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RN8190K","QC"
"483R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RK4365V","QC"
"484R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RK4364V","QC"
"485R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RP4516K","QC"
"486R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RK4362V","QC"
"487R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RK4361V","QC"
"488R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RK4360V","QC"
"489R","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RT4299M","QC"
="490","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RL6383W","QC"
="491","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RT6158N","QC"
="492","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RL6339W","QC"
="493","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RL6341W","QC"
="494","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RL6382W","QC"
"494L","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RL6382W","QC"
="495","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RR4935R","QC"
="496","TW","Controlled temperature trailer","1805 CHEMIN SAINT-FRANCOIS","RR4936R","QC"
="497","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RR4937R","QC"
="498","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RR4938R","QC"
="499","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RR4939R","QC"
="501","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RF0795Y","QC"
="502","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RF0796Y","QC"
="503","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RF0797Y","QC"
="504","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RF0798Y","QC"
="505","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RF0799Y","QC"
="506","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RR5273X","QC"
="507","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RG0551K","QC"
="508","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RG0550K","QC"
="509","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RG0549K","QC"
="510","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RG0548K","QC"
="5100","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RP5416A","QC"
